SN,Btw,Trial,cSrc,cCue,cPE,IMidx,IMname,CueName,Resp,RT,Corr,Conf,cRT,aResp,aRT,aCorr,aConf,aCRT
10,1,141,1,2,3,129, man171.jpg, cue_2.jpg,1,1.6375,1,4,0.4959,1,0.7036,1,4,0.4293
10,1,142,3,0,0,38, man059.jpg, ,3,0.7683,1,4,0.2716,7,0,7,7,0
10,1,143,3,0,0,184, man249.jpg, ,3,0.8095,1,4,0.3111,7,0,7,7,0
10,1,144,3,0,0,114, man156.jpg, ,3,2.8144,1,4,0.377,7,0,7,7,0
10,1,145,3,0,0,92, man126.jpg, ,3,0.6548,1,4,0.3389,7,0,7,7,0
10,1,146,1,1,1,73, man105.jpg, cue_1.jpg,2,2.4421,2,3,1.6514,4,0.6713,1,3,0.4807
10,1,147,3,0,0,74, man106.jpg, ,3,0.6416,1,4,0.3422,7,0,7,7,0
10,1,148,3,0,0,12, man022.jpg, ,3,0.6856,1,4,0.3043,7,0,7,7,0
10,1,149,2,1,1,33, man054.jpg, cue_1.jpg,2,1.0649,1,4,0.4427,4,0.3839,1,4,0.3924
10,1,150,3,0,0,18, man031.jpg, ,3,1.0057,1,4,0.3359,7,0,7,7,0
10,1,151,1,4,2,27, man044.jpg, cue_4.jpg,1,4.0423,1,2,1.1682,2,1.1195,1,4,0.4945
10,1,152,2,1,1,131, man174.jpg, cue_1.jpg,2,1.6321,1,4,0.378,4,0.3517,1,4,0.3638
10,1,153,1,3,4,104, man141.jpg, cue_3.jpg,1,1.9218,1,2,1.1677,3,0.5115,1,4,0.7773
10,1,154,2,4,2,207, man284.jpg, cue_4.jpg,2,2.4463,1,2,0.5353,2,0.5756,1,4,0.5183
10,1,155,2,3,4,143, man189.jpg, cue_3.jpg,2,2.5993,1,3,0.6982,3,0.6714,1,4,0.5434
10,1,156,3,0,0,177, man241.jpg, ,3,0.8773,1,4,0.3452,7,0,7,7,0
10,1,157,2,1,1,3, man005.jpg, cue_1.jpg,2,1.5999,1,4,0.5386,4,1.3756,1,4,0.2995
10,1,158,2,3,4,67, man096.jpg, cue_3.jpg,3,1.2185,0,3,0.5925,7,0,7,7,0
10,1,159,1,2,3,106, man145.jpg, cue_2.jpg,1,1.8244,1,3,0.9475,1,0.7994,1,4,0.6162
10,1,160,2,1,1,122, man164.jpg, cue_1.jpg,2,1.4448,1,4,2.4238,4,2.9116,1,3,0.6792
10,1,161,3,0,0,147, man196.jpg, ,3,1.2478,1,4,0.283,7,0,7,7,0
10,1,162,3,0,0,85, man118.jpg, ,3,0.8047,1,4,0.3356,7,0,7,7,0
10,1,163,3,0,0,97, man133.jpg, ,3,0.6497,1,4,0.3339,7,0,7,7,0
10,1,164,1,1,1,44, man066.jpg, cue_1.jpg,1,1.925,1,2,0.5958,4,0.5115,1,4,0.4839
10,1,165,1,3,4,171, man233.jpg, cue_3.jpg,1,1.9572,1,3,1.8748,3,4.9913,1,1,1.4736
10,1,166,1,3,4,149, man198.jpg, cue_3.jpg,1,1.0335,1,3,1.5173,1,0.5114,0,4,1.2543
10,1,167,3,0,0,76, man108.jpg, ,3,0.872,1,4,0.3389,7,0,7,7,0
10,1,168,3,0,0,189, man255.jpg, ,3,0.6182,1,4,0.2716,7,0,7,7,0
10,1,169,3,0,0,230, man316.jpg, ,3,0.6153,1,4,0.27,7,0,7,7,0
10,1,170,2,1,1,162, man215.jpg, cue_1.jpg,1,2.2172,3,3,0.6667,4,0.5435,1,4,1.0964
10,1,171,3,0,0,169, man230.jpg, ,3,0.7657,1,4,0.3346,7,0,7,7,0
10,1,172,2,3,4,222, man307.jpg, cue_3.jpg,2,1.6378,1,4,0.5925,3,0.4157,1,4,0.4852
10,1,173,3,0,0,43, man064.jpg, ,3,1.1261,1,4,0.9175,7,0,7,7,0
10,1,174,2,3,4,123, man165.jpg, cue_3.jpg,2,1.1254,1,4,0.7258,3,1.5352,1,4,0.5499
10,1,175,1,2,3,93, man128.jpg, cue_2.jpg,2,1.2506,2,4,0.847,1,1.8878,1,3,0.3635
10,1,176,2,2,3,113, man155.jpg, cue_2.jpg,1,1.2494,3,4,0.7948,1,0.3838,1,4,0.298
10,1,177,2,4,2,240, man336.jpg, cue_4.jpg,1,3.3952,3,2,2.3564,2,2.1757,1,2,0.7734
10,1,178,2,1,1,187, man253.jpg, cue_1.jpg,2,0.9704,1,3,1.4892,4,1.5996,1,4,0.7191
10,1,179,3,0,0,36, man057.jpg, ,3,0.6782,1,4,0.3134,7,0,7,7,0
10,1,180,1,1,1,55, man079.jpg, cue_1.jpg,1,6.2414,1,2,0.9226,4,2.7195,1,3,0.8978
10,1,181,3,0,0,188, man254.jpg, ,3,0.7372,1,4,0.3698,7,0,7,7,0
10,1,182,2,3,4,186, man252.jpg, cue_3.jpg,2,3.2396,1,3,1.1033,3,4.1597,1,3,0.7373
10,1,183,1,4,2,138, man184.jpg, cue_4.jpg,2,3.3374,2,2,1.2506,2,0.7677,1,4,0.741
10,1,184,3,0,0,83, man115.jpg, ,3,0.9076,1,4,0.2772,7,0,7,7,0
10,1,185,1,3,4,238, man332.jpg, cue_3.jpg,1,1.5192,1,4,0.6548,3,0.5436,1,4,0.5237
10,1,186,2,2,3,216, man301.jpg, cue_2.jpg,1,1.5464,3,4,0.8263,1,0.4476,1,4,0.3558
10,1,187,3,0,0,144, man190.jpg, ,3,0.8742,1,4,0.3091,7,0,7,7,0
10,1,188,1,3,4,101, man137.jpg, cue_3.jpg,1,1.9311,1,3,0.7311,1,3.7117,0,2,0.5131
10,1,189,1,1,1,23, man039.jpg, cue_1.jpg,1,1.3127,1,4,1.0815,4,0.8634,1,4,0.3269
10,1,190,1,1,1,209, man289.jpg, cue_1.jpg,1,2.4149,1,4,0.6654,4,0.3517,1,4,0.3021
10,1,191,3,0,0,170, man231.jpg, ,3,1.8307,1,4,0.3777,7,0,7,7,0
10,1,192,2,4,2,156, man207.jpg, cue_4.jpg,2,6.1109,1,2,1.6462,2,2.9115,1,2,0.9423
10,1,193,2,4,2,37, man058.jpg, cue_4.jpg,1,5.1324,3,3,0.9808,2,0.3837,1,4,1.3226
10,1,194,2,1,1,26, man042.jpg, cue_1.jpg,1,4.2967,3,1,0.8522,4,1.8876,1,3,0.576
10,1,195,2,2,3,56, man082.jpg, cue_2.jpg,1,1.2924,3,4,1.0149,1,0.7035,1,4,0.2702
10,1,196,1,3,4,167, man228.jpg, cue_3.jpg,1,1.4482,1,3,0.5388,3,0.6394,1,4,0.3275
10,1,197,1,1,1,45, man067.jpg, cue_1.jpg,1,1.4082,1,4,0.5008,4,0.4157,1,4,0.3976
10,1,198,3,0,0,140, man186.jpg, ,3,0.898,1,4,0.3148,7,0,7,7,0
10,1,199,1,2,3,217, man302.jpg, cue_2.jpg,1,1.7952,1,4,1.5607,4,1.2477,0,4,0.3537
10,1,200,3,0,0,155, man206.jpg, ,3,0.7123,1,4,0.3143,7,0,7,7,0
10,1,201,1,1,1,172, man234.jpg, cue_1.jpg,1,1.5702,1,4,0.5279,4,2.8475,1,3,0.3208
10,1,202,2,4,2,64, man093.jpg, cue_4.jpg,2,1.865,1,2,1.7221,3,0.7354,0,3,0.6104
10,1,203,1,4,2,71, man102.jpg, cue_4.jpg,1,1.7104,1,4,0.5345,2,0.5117,1,4,0.3936
10,1,204,3,0,0,201, man277.jpg, ,3,0.7188,1,4,0.2719,7,0,7,7,0
10,1,205,3,0,0,47, man070.jpg, ,3,0.6182,1,4,0.3355,7,0,7,7,0
10,1,206,3,0,0,229, man315.jpg, ,3,0.9977,1,4,0.3153,7,0,7,7,0
10,1,207,3,0,0,178, man242.jpg, ,3,0.9968,1,4,0.3468,7,0,7,7,0
10,1,208,1,1,1,151, man201.jpg, cue_1.jpg,1,2.2414,1,3,0.7213,4,0.7035,1,4,0.6781
10,1,209,1,3,4,150, man199.jpg, cue_3.jpg,1,1.3914,1,4,0.7567,3,0.7361,1,4,1.7967
